match	samerace	age_o	attr_o	sinc_o	intel_o	fun_o	amb_o	shar_o	like_o
1	1	27	8	9	9	9	9	8	9
0	0	27	5	8	8	8	7	7	7
0	1	23	10	8	8	7	7	5	9
0	1	23	6	8	9	6	8	7	7
0	1	23	9	9	9	7	7	8	9
0	1	23	9	8	9	7	7	8	9
0	1	23	8	9	8	7	7	8	9
0	0	23	9	7	7	9	8	6	8
0	0	23	9	8	8	7	7	7	8
0	1	23	9	9	9	8	7	6	8
0	1	23	10	8	9	7	7	7	9
0	1	23	10	8	8	9	7	6	9
0	0	23	9	9	8	7	7	6	8
0	0	23	7	9	8	6	7	6	7
0	1	23	9	9	7	8	7	6	8
0	1	23	10	9	9	8	7	7	9
0	0	23	9	8	8	8	7	6	8
0	0	23	9	8	8	7	6	5	7
0	1	24	4	5	6	4	6	4	4
1	1	24	5	10	9	8	7	5	9
0	0	24	8	8	8	8	10	6	8
0	1	24	10	10	9	8	8	7	9
0	0	24	8	10	9	8	8	5	8
0	1	24	6	8	8	8	8	7	8
0	1	24	8	9	10	8	5	6	7
0	1	24	6	8	7	6	5	7	7
0	0	24	8	6	6	8	9	5	5
1	1	24	8	8	8	8	8	8	8
1	0	24	6	9	9	10	9	10	10
1	1	24	10	10	10	10	10	10	10
0	0	24	4	7	7	9	8	7	9
1	1	24	4	10	9	5	6	2	7
1	1	24	8	7	8	8	8	8	8
1	1	24	6	4	8	9	9	9	8
1	0	34	8	10	10	8	6	7	7
0	0	34	7	10	10	7	10	8	5
1	0	34	10	10	10	7	10	6	9
0	1	34	8	10	10	10	10	10	9
0	0	34	8	10	10	8	9	7	8
0	0	34	10	10	10	10	10	5	8
1	0	34	10	9	8	8	9	9	6
0	0	34	10	10	10	8	10	9	9
0	0	34	8	10	10	8	9	6	7
1	1	34	10	10	10	10	10	10	10
1	0	29	5	6	6	6	6	6	6
0	1	29	5	5	6	6	6	6	6
1	0	29	5	5	5	5	5	7	7
0	0	29	5	5	5	5	5	5	7
0	0	29	5	5	5	5	5	5	7
0	0	29	5	5	6	6	6	6	6
0	0	29	5	6	5	7	7	6	6
0	0	29	6	5	6	7	7	7	7
0	1	29	6	5	6	7	7	7	7
0	1	23	7	8	6	7	8	3	5
0	1	23	9	8	7	7	7	5	7
1	0	23	7	8	8	7	9	5	6
0	0	23	8	8	9	6	8	5	8
0	0	23	6	7	7	6	7	4	4
0	1	23	8	6	7	6	7	6	7
0	1	23	9	5	6	7	6	5	8
0	1	23	9	7	8	6	8	6	7
0	1	23	9	8	9	9	9	6	9
0	1	23	9	8	9	8	7	6	9
0	1	23	9	7	8	8	6	6	8
0	1	23	10	9	8	8	6	6	8
0	0	23	7	8	8	5	7	5	7
0	1	23	10	8	8	8	8	6	9
0	0	23	8	9	8	7	8	6	7
0	0	23	7	8	8	7	8	6	7
1	1	23	9	8	8	8	8	7	10
0	1	23	8	7	7	6	8	6	6
0	0	23	9	9	9	8	8	6	8
0	0	23	8	8	8	7	9	6	8
0	1	24	7	8	10	8	10	7	7
0	0	24	9	9	9	9	9	7	8
0	1	24	4	8	8	6	8	5	5
0	1	24	8	8	10	7	10	9	6
0	1	24	8	9	10	7	10	7	6
0	1	24	8	9	8	7	8	6	6
0	0	24	6	10	10	9	10	7	7
1	0	24	8	10	10	8	10	7	8
0	1	24	3	10	9	6	8	5	5
0	1	24	6	10	10	7	10	6	6
0	1	24	7	9	10	8	9	9	7
0	0	24	7	10	10	8	9	6	7
0	1	24	10	8	8	8	8	7	7
0	1	24	10	8	7	7	9	6	7
0	0	24	7	10	10	6	10	5	6
0	1	24	8	9	8	6	7	7	7
0	1	24	6	10	9	8	8	6	5
0	0	24	8	10	9	8	8	7	7
0	1	24	5	10	9	6	7	6	5
0	0	24	6	7	9	7	8	6	7
1	0	27	7	8	8	8	7	7	8
0	0	22	4	8	9	7	8	2	5
0	0	22	7	8	8	7	9	5	7
0	0	22	4	6	10	6	6	7	6
0	0	22	4	8	7	5	6	2	4
0	1	22	5	6	6	8	6	2	6
0	1	22	4	8	7	8	9	8	7
0	1	22	7	5	8	5	8	7	5
0	0	29	4	8	8	7	6	3	6
0	0	29	1	7	8	5	7	4	3
0	1	29	8	8	9	7	8	5	8
0	0	29	6	5	5	8	4	8	5
0	0	29	7	6	8	5	5	8	7
0	1	29	7	6	7	5	8	1	6
0	0	29	8	7	8	8	8	6	7
0	1	29	4	5	8	6	8	4	4
0	0	29	2	8	8	7	8	9	7
0	0	29	2	7	7	5	5	4	4
0	1	29	2	8	9	9	8	5	8
0	0	29	2	8	8	9	7	4	8
0	1	29	5	6	5	5	7	3	4
0	1	29	5	7	9	4	8	9	7
0	1	29	8	8	9	7	7	6	8
0	0	29	9	7	5	6	5	7	6
1	0	29	10	9	9	6	9	6	10
0	1	29	9	9	8	5	6	7	9
0	0	29	4	7	7	5	7	5	5
0	1	29	7	6	5	6	4	4	4
0	1	29	9	8	7	7	6	5	8
0	0	28	6	6	7	6	5	2	6
1	1	28	4	5	6	6	6	6	6
0	0	28	7	6	9	4	9	3	2
0	0	28	2	4	5	5	5	1	3
0	0	28	2	1	1	1	9	5	1
0	0	28	1	2	8	1	8	1	2
0	0	28	4	2	5	1	8	7	6
0	0	28	1	9	8	1	3	1	2
0	0	28	4	6	8	6	6	10	4
0	0	28	1	2	5	7	5	1	1
0	0	28	6	1	5	1	1	1	1
0	0	28	2	4	4	1	7	2	3
0	0	28	1	1	6	1	5	1	1
0	0	28	4	9	3	2	4	1	2
0	0	28	1	2	3	1	5	8	1
0	0	28	1	6	5	1	6	4	1
0	0	28	2	6	6	7	6	3	3
0	0	28	4	2	7	1	7	1	1
1	0	28	1	7	9	2	9	2	2
0	0	28	8	1	8	1	8	1	6
0	1	28	2	8	8	3	8	1	2
0	1	27	9	9	9	8	7	8	9
0	0	27	8	9	8	8	7	7	9
0	0	27	7	8	8	7	6	7	8
1	0	27	8	9	8	8	6	7	9
0	0	27	9	8	9	8	7	7	9
0	1	27	8	9	8	8	6	8	9
0	0	27	6	8	8	7	6	7	7
0	0	27	7	9	8	7	6	8	8
0	0	27	8	9	10	8	7	7	9
0	0	27	8	9	10	7	6	6	8
0	0	27	7	9	8	7	6	7	8
0	1	27	8	9	8	7	6	7	8
0	1	27	10	10	10	10	8	7	9
0	1	27	8	9	9	8	7	7	9
0	1	30	4	9	9	6	8	6	9
0	0	30	7	9	8	9	7	7	7
0	0	30	5	6	5	5	5	3	4
0	1	30	6	6	6	5	8	2	6
0	0	30	6	8	7	7	7	7	8
0	0	30	5	8	8	7	8	8	8
0	0	30	4	9	8	5	9	8	8
0	0	30	6	8	8	6	6	6	7
1	0	30	8	9	9	9	9	8	8
0	0	30	8	8	7	7	7	5	7
0	0	30	3	8	8	5	7	5	7
0	0	30	2	8	7	8	7	7	5
0	0	30	4	5	7	5	7	9	6
0	0	30	5	7	7	4	7	1	3
0	1	30	7	7	7	7	7	7	7
1	1	30	8	10	9	7	8	8	8
1	0	30	10	10	9	10	10	10	10
0	0	30	5	10	9	10	8	8	7
0	0	30	6	10	9	8	8	8	6
0	0	30	9	10	10	10	9	9	9
0	0	30	10	10	9	10	9	9	10
0	0	30	4	6	8	5	5	5	4
0	1	30	7	7	8	6	6	6	5
0	0	30	4	8	8	6	6	5	5
0	0	34	7	8	9	7	7	1	7
1	1	34	10	10	10	8	9	8	10
0	0	34	9	9	10	9	10	9	8
0	0	34	10	9	7	8	8	7	8
0	0	34	4	9	7	4	3	1	5
0	0	34	7	7	8	8	9	8	7.5
0	1	34	10	10	10	10	10	9	10
0	1	34	10	10	10	9	8	8	9
0	0	34	5	9	9	5	5	1	5
0	0	34	6	10	6	6	6	4	5
0	0	34	4	9	4	3	3	3	3
0	1	34	10	9	9	10	9	9	9.7
0	1	34	7	8	6	7	7	4	7
0	1	34	9	10	9	8	9	7	9
0	0	34	7	8	9	5	5	5	6
0	0	34	7	9	9	5	10	7	7
0	1	34	9.5	9	9.5	7	7	7	8.5
0	0	34	9	10	9	8	9	6	8
0	0	23	4	3	6	3	6	1	5
0	0	23	6	4	6	8	8	8	5
0	1	23	4	10	8	8	8	4	6
0	0	23	6	10	8	8	8	4	6
0	0	23	7	7	8	7	10	6	6
1	0	23	8	8	10	8	10	10	8
0	0	23	6	10	10	9	8	7	8
1	0	23	2	8	8	8	7	6	6
0	0	23	8	8	8	8	8	5	8
1	0	23	6	5	6	5	6	5	5
0	0	23	8	8	8	8	8	8	6
0	1	23	6	10	9	8	8	6	8
0	0	23	10	9	9	8	7	6	7
0	1	23	8	8	10	7	10	6	5
0	1	23	6	6	6	6	6	6	4
0	0	23	8	8	8	8	8	8	6
0	1	24	8	8	8	9	9	7	9
0	0	24	6	8	8	7	7	7	6
0	1	24	7	6	6	6	6	5	5
0	1	24	7	8	8	8	7	8	8
1	1	24	8	8	7	7	7	8	8
0	1	24	7	8	8	9	8	9	8
0	1	24	9	9	8	9	9	10	9
1	1	24	6	8	8	9	8	8	8
0	1	24	10	9	9	9	8	8	9
0	1	24	9	9	9	8	9	7	8
0	1	24	9	7	7	9	7	8	8
0	0	24	3	9	10	3	8	0	3
0	1	24	9	9	8	9	8	8	9
0	1	24	7	8	8	8	7	7	7
1	1	24	6	9	8	8	8	7	7
0	1	24	7	9	8	8	8	9	8
0	1	24	8	8	7	8	7	7	7
0	0	24	6	8	8	8	7	7	7
0	1	38	7	9	9	7	8	8	8
0	1	38	7	7	7	7	7	7	7
1	1	38	8	9	9	6	9	8	8
0	1	38	7	8	9	5	7	5	7
1	0	38	7	9	9	8	9	5	8
0	1	38	6	9	9	6	9	5	7
0	1	38	9	9	9	6	8	5	8
0	0	38	6	8	9	6	7	7	7
0	0	38	8	6	8	7	9	5	6
0	1	38	7	9	8	7	7	9	8
0	0	38	7	9	8	9	8	9	8
0	1	38	7	9	9	7	8	5	7
0	1	38	9	6	8	7	7	8	7
0	1	38	8	9	9	8	8	8	9
0	1	38	5	7	8	7	9	5	7
0	1	38	6	7	8	7	8	6	7
0	1	38	6	6	9	6	9	5	6
0	1	38	6	6	6	6	6	6	6
1	0	26	9	9	9	8	9	8	9
1	1	26	8	9	8	8	8	9	9
0	0	26	8	9	9	8	8	7	8
1	1	26	8	9	9	7	9	7	7
1	1	26	9	9	9	9	8	9	9
1	0	25	6	7	6	8	7	4	5
1	0	25	7	5	7	8	7	5	5
1	0	25	6	7	8	7	6	6	5
0	0	25	3	5	7	4	8	2	3
1	0	25	5	4	7	7	7	4	4
0	0	25	5	6	6	5	6	4	4
1	0	25	5	7	8	7	8	6	5
1	0	25	7	7	6	8	7	5	5
0	0	21	5	8	7	7	8	5	8
0	0	21	4	4	7	4	8	2	4
0	1	21	7	7	8	5	7	2	7
0	0	21	6	9	8	9	8	8	4
0	1	21	7	7	8	6	7	5	6
0	0	21	10	8	3	10	10	5	8
0	1	21	10	10	10	11	10	10	10
0	1	21	5	8	8	8	9	7	8
0	1	21	6	8	8	8	8	7	9
0	1	21	8	5	8	5	7	5	7
0	0	22	8	7	9	9	8	5	7
0	0	22	5	9	9	8	7	3	6
0	0	22	5	7	8	6	8	1	4
0	0	22	5	8	8	7	8	2	6
0	0	22	7	6	8	7	8	2	5
0	0	22	5	8	8	6	7	2	5
0	0	22	5	9	9	6	8	4	7
0	1	22	5	8	8	8	6	3	7
0	0	22	6	8	8	9	9	4	6
0	0	22	5	6	9	8	8	5	5
0	0	22	5	7	8	6	9	5	6
0	1	22	2	5	9	5	8	3	5
0	1	22	4	8	9	8	9	2	6
0	1	22	4	8	9	8	9	2	5
0	1	33	5	10	8	8	7	7	9
0	0	33	8	9	10	10	8	7	10
1	0	33	9	8	8	8	8	7	8
0	0	33	8	2	8	10	6	8	9
0	0	33	7	8	9	8	10	6	7
0	0	33	8	8	8	7	10	5	6
0	1	27	9	9	9	9	9	9	9
0	0	27	7	9	7	7	9	2	5
0	0	27	7	9	8	7	9	2	5
0	0	27	7	9	9	8	8	5	7
0	0	27	8	8	9	8	9	5	8
0	1	27	7	9	7	7	5	5	5
0	1	23	5	7	7	6	6	4	6
1	1	23	8	8	7	8	6	7	8
0	0	23	7	8	8	7	7	8	8
0	0	23	6	6	7	7	6	3	6
0	0	23	7	7	8	5	7	1	4
0	0	23	3	6	7	6	7	2	2
0	0	23	5	9	8	6	6	3	7
0	0	23	3	7	8	2	6	1	5
0	0	23	7	8	7	4	6	7	8
0	0	23	5	8	7	7	8	5	7
0	1	23	5	5	5	5	5	1	3
0	0	23	6	8	8	5	5	3	5
0	1	23	6	8	7	8	7	7	8
0	1	23	8	6	7	7	7	7	7
0	1	23	7	6	6	6	5	6	7
0	1	24	5	7	5.5	4	4	3	4
0	1	24	2	2	2	2	2	0	2
0	0	24	2	3	7	0	8	0	2
0	0	24	0	0	0	0	0	0	0
0	0	24	2	6	7	5	7	2	5
0	1	24	5	6	6	5	5	3	5
0	1	24	0	4	6	4	5	2	2
0	0	24	5	4	5	5	5	3	3
0	0	24	7	6	8	5	7	1	5
0	1	24	4	8	7	7	6	7	7
0	0	24	5	2	3	6	2	5	5
0	0	26	9	8	8	8	8	8	9
0	0	26	7	7	9	7	8	3	7
0	1	23	4	7	7	5	7	2	5
0	0	23	2	4	8	5	8	5	5
0	0	23	6	7	8	7	9	6	6
0	1	23	6	8	8	8	7	6	7
0	1	23	5	5	7	6	7	4	3
0	1	25	7	10	10	10	10	8	7
0	0	25	10	5	5	5	7	8	1
0	1	25	5	10	10	8	10	5	5
0	0	25	10	8	5	3	10	1	3
0	0	25	10	8	10	5	10	1	3
0	0	25	5	10	10	8	10	5	5
0	0	25	7	10	10	5	5	4	5
0	1	25	10	8	10	10	10	5	5
0	0	25	5	5	5	5	5	1	1
0	0	25	5	10	10	5	10	1	5
0	0	25	5	8	8	3	8	1	4
0	0	25	5	10	10	5	10	5	5
0	0	25	5	10	10	5	5	1	3
0	0	25	5	5	5	1	10	1	1
0	1	25	5	10	5	1	1	1	4
1	1	25	5	10	10	10	10	3	4
0	0	25	5	10	8	5	5	5	3
0	0	25	5	10	10	10	10	5	5
0	0	25	5	5	5	5	5	1	1
0	0	25	5	10	10	5	5	1	3
0	1	25	5	10	10	5	10	8	3
0	1	25	5	10	10	5	5	1	3
0	1	28	2	8	6	5	4	4	3
0	0	28	2	2	2	2	3	2	0
0	0	28	8	5	7	6	7	3	5
1	0	28	3	7	6	6	5	4	5
0	0	28	5	5	5	5	5	5	5
1	1	28	5	4	5	6	6	7	6
1	0	28	6	5	6	7	7	6	5
0	0	28	2	6	3	6	5	7	3
0	0	28	5	8	7	5	3	3	5
0	1	28	5	6	5	5	5	2	2
0	1	28	3	7	6	5	5	6	5
0	0	28	7	5	6	5	5	6	6
1	0	28	7	3	6	7	6	3	7
0	0	28	5	4	7	6	7	6	5
1	0	28	8	5	8	6	8	5	5
0	0	28	5	5	5	5	5	5	5
0	0	28	6	4	6	6	7	5	5
0	0	28	5	5	6	3	5	3	4
